Title,Genres,Year,Cast,Director,Rating,RatingCount,Popularity,Adult,Language,Overview
Flight of the Navigator,"Family ,Science Fiction ,Adventure",1986,"joeycramer ,paulreubens ,cliffdeyoung",randalkleiser,6.9,227.0,5.526865,False,en,"This 1986 Disney adventure tells the story of 12-year-old David who lives with his family in Fort Lauderdale, Fla. When he awakens from being accidentally knocked out in the forest near his home, he finds that eight years have passed. His family is overjoyed to have him back, but just as perplexed as he is by the fact that he hasn't aged. When a NASA scientist discovers a UFO nearby, David gets the chance to unravel the mystery and recover the life he lost."
The Gnome-Mobile,"Fantasy ,Comedy ,Family",1967,"walterbrennan ,matthewgarber ,karendotrice",robertstevenson,5.8,23.0,1.479408,False,en,"An eccentric millionaire and his grandchildren are embroiled in the plights of some forest gnomes who are searching for the rest of their tribe. While helping them, the millionaire is suspected of being crazy because he's seeing gnomes! He's committed, and the niece and nephew and the gnomes have to find him and free him."
The Great Mouse Detective,"Comedy ,Animation ,Family",1986,"barrieingham ,valbettin ,vincentprice",ronclements,6.9,334.0,11.183924000000001,False,en,"When the diabolical Professor Ratigan kidnaps London's master toymaker, the brilliant master of disguise Basil of Baker Street and his trusted sidekick Dawson try to elude the ultimate trap and foil the perfect crime."
The Happiest Millionaire,"Comedy ,Drama ,Family ,Music",1967,"fredmacmurray ,tommysteele ,greergarson",normantokar,5.8,8.0,3.3952769999999997,False,en,"A happy and unbelievably lucky young Irish immigrant, John Lawless, lands a job as the butler of an unconventional millionaire, Biddle. His daughter, Cordelia Drexel Biddle, tires of the unusual antics of her father--especially since the nice young men around town all fear him. Wouldn't you fear a father-in-law that keeps alligators for pets and teaches boxing at his daily Bible classes?"
Herbie Goes Bananas,"Fantasy ,Comedy ,Family ,Adventure",1980,"clorisleachman ,charlesmartinsmith ,stephenw.burns",vincentmceveety,5.3,48.0,3.13734,False,en,The adorable little VW helps its owners break up a counterfeiting ring in Mexico.
Herbie Goes To Monte Carlo,"Romance ,Comedy ,Family ,Action ,Adventure",1977,"deanjones ,donknotts ,juliesommars",vincentmceveety,5.9,65.0,4.705091,False,en,"Herbie, the Volkswagen Beetle with a mind of its own, is racing in the Monte Carlo Rally. But thieves have hidden a cache of stolen diamonds in Herbie's gas tank, and are now trying to get them back."
Hocus Pocus,"Comedy ,Family ,Fantasy",1993,"bettemidler ,sarahjessicaparker ,kathynajimy",kennyortega,6.5,491.0,10.390708,False,en,"After 300 years of slumber, three sister witches are accidentally resurrected in Salem on Halloween night, and it us up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all."
Honey I Blew Up the Kid,"Adventure ,Comedy ,Family ,Science Fiction",1992,"rickmoranis ,marciastrassman ,robertoliveri",randalkleiser,4.8,272.0,12.337898,False,en,"Wayne Szalinski is at it again. But instead of shrinking things, he tries to make a machine that can make things grow. As in the first one, his machine isn't quite accurate. But when he brings Nick & his toddler son Adam to see his invention, the machine unexpectedly starts working. And when Adam comes right up to the machine, he gets zapped along with his stuffed bunny."
"Honey, I Shrunk the Kids","Adventure ,Comedy ,Family ,Science Fiction",1989,"rickmoranis ,marciastrassman ,mattfrewer",joejohnston,6.1,756.0,12.358786,False,en,The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.
Hot Lead & Cold Feet,"Action ,Comedy ,Family ,Western",1978,"jimdale ,karenvalentine ,donknotts",robertbutler,5.7,11.0,1.366163,False,en,"Twin brothers -- one rough and tough, the other a city-bred milquetoast -- compete for their father's fortune."
In Search of the Castaways,"Action ,Adventure ,Drama ,Family",1962,"mauricechevalier ,hayleymills ,georgesanders",robertstevenson,6.2,20.0,2.679615,False,en,"In Search of the Castaways is a 1962 Walt Disney Productions feature film starring Hayley Mills and Maurice Chevalier in a tale about a worldwide search for a shipwrecked sea captain. The film was directed by Robert Stevenson from a screenplay by Lowell S, Hawley based upon Jules Verne's 1868 adventure novel Captain Grant's Children."
The Incredible Journey,"Adventure ,Family",1963,"émilegenest ,johndrainie ,sandrascott",fletchermarkle,6.3,22.0,1.7915869999999998,False,en,"The story of three pets, a cat and two dogs, who lose their owners when they are all on vacation. Can they find their way home?"
The Negotiator,"Action ,Adventure ,Crime ,Drama ,Mystery ,Thriller",1998,"samuell.jackson ,kevinspacey ,davidmorse",f.garygray,6.8,593.0,7.6550199999999995,False,en,"The police try to arrest expert hostage negotiator Danny Roman, who insists he's being framed for his partner's murder in what he believes is an elaborate conspiracy. Thinking there's evidence in the Internal Affairs offices that might clear him, he takes everyone in the office hostage and demands that another well-known negotiator be brought in to handle the situation and secretly investigate the conspiracy."
The Parent Trap,"Comedy ,Drama ,Family",1998,"lindsaylohan ,dennisquaid ,natasharichardson",nancymeyers,6.8,768.0,7.768828,False,en,"Hallie Parker and Annie James are identical twins separated at a young age because of their parents' divorce. unknowingly to their parents, the girls are sent to the same summer camp where they meet, discover the truth about themselves, and then plot with each other to switch places. Hallie meets her mother, and Annie meets her father for the first time in years."
BASEketball,Comedy,1998,"treyparker ,mattstone ,yasminebleeth",davidzucker,5.9,150.0,10.107453999999999,False,en,"Two losers from Milwaukee, Coop &amp; Remer, invent a new game playing basketball, using baseball rules. When the game becomes a huge success, they, along with a billionaire's help, form the Professional Baseketball League where everyone gets the same pay and no team can change cities. Theirs is the only team standing in the way of major rule changes that the owner of a rival team wants to institute."
The Governess,"Drama ,Romance",1998,"minniedriver ,tomwilkinson ,harrietwalter",sandragoldbacher,6.8,8.0,0.666802,False,en,"When the father of privileged Rosina da Silva violently dies, she decides to pass herself off as a gentile and finds employment with a family in faraway Scotland. Soon she and the family father, Charles, start a passionate secret affair."
Seventh Heaven,Drama,1997,"sandrinekiberlain ,vincentlindon ,françoisberléand",benoîtjacquot,4.7,3.0,0.431005,False,fr,"A bored, sexually frustrated woman's life improves when she begins hypnotherapy and tries feng shui, but her husband's life unravels."
Roger & Me,"Documentary ,History",1989,"michaelmoore ,rogerb.smith ,rhondabritton",michaelmoore,7.4,92.0,4.877008999999999,False,en,"A documentary about the closure of General Motors' plant at Flint, Michigan, which resulted in the loss of 30,000 jobs. Details the attempts of filmmaker Michael Moore to get an interview with GM CEO Roger Smith."
The Purple Rose of Cairo,"Fantasy ,Comedy ,Romance",1985,"miafarrow ,jeffdaniels ,dannyaiello",woodyallen,7.3,206.0,6.133697,False,en,"Cecilia is a waitress in New Jersey, living a dreary life during the Great Depression. Her only escape from her mudane reality is the movie theatre. After losing her job, Cecilia goes to see 'The Purple Rose of Cairo' in hopes of raising her spirits, where she watches dashing archaeologist Tom Baxter time and again."
Out of the Past,"Drama ,Mystery ,Thriller",1947,"robertmitchum ,janegreer ,kirkdouglas",jacquestourneur,7.6,111.0,5.34379,False,en,"Jeff Bailey seems to be a mundane gas station owner in remote Bridgeport, CA. He is dating local girl Ann Miller and lives a quiet life. But Jeff has a secret past, and when a mysterious stranger arrives in town, Jeff is forced to return to the dark world he had tried to escape."
Doctor Zhivago,"Drama ,Romance ,War",1965,"omarsharif ,juliechristie ,geraldinechaplin",davidlean,7.4,252.0,8.489499,False,en,Doctor Zhivago is the filmed adapation of the Russian novel by Boris Pasternak from director David Lean that was an international success and today deemed a classic. Omar Sharif and Julie Christie play two protagonists who in fact love each other yet because of their current situation cannot find a way be together.
Fanny & Alexander,"Fantasy ,Drama ,Mystery",1982,"allanedwall ,ewafröling ,erlandjosephson",ingmarbergman,7.3,138.0,5.472430999999999,False,sv,"Through the eyes of ten-year-old Alexander, we witness the delights and conflicts of the Ekdahl family, a sprawling bourgeois clan in turn-of-the-twentieth-century Sweden."
The Trip to Bountiful,Drama,1985,"geraldinepage ,johnheard ,carlinglynn",petermasterson,7.3,12.0,1.2106270000000001,False,en,"Carrie Watts is living the twilight of her life trapped in an apartment in 1940's Houston, Texas with a controlling daughter-in-law and a hen-pecked son. Her fondest wish -- just once before she dies -- is to revisit Bountiful, the small Texas town of her youth which she still refers to as ""home."""
Tender Mercies,"Drama ,Music ,Romance",1983,"robertduvall ,tessharper ,bettybuckley",bruceberesford,6.1,22.0,1.160488,False,en,Alchoholic former country singer Mac Sledge makes friends with a young widow and her son. The friendship enables him to find inspiration to resume his career.
And the Band Played On,Drama,1993,"matthewmodine ,alanalda ,patrickbauchau",rogerspottiswoode,5.8,24.0,2.643288,False,en,The story of the discovery of the AIDS epidemic and the political infighting of the scientific community hampering the early fight with it.
The 'Burbs,"Comedy ,Horror ,Thriller",1989,"tomhanks ,brucedern ,carriefisher",joedante,6.6,312.0,7.889227,False,en,"When secretive new neighbors move in next door, suburbanite Ray Peterson and his friends let their paranoia get the best of them as they start to suspect the newcomers of evildoings and commence an investigation. But it's hardly how Ray, who much prefers drinking beer, reading his newspaper and watching a ball game on the tube expected to spend his vacation."
Fandango,"Comedy ,Drama",1985,"kevincostner ,juddnelson ,samrobards",kevinreynolds,6.6,39.0,11.350645,False,en,"Five college buddies from the University of Texas circa 1971 embark on a final road trip odyssey across the Mexican border before facing up to uncertain futures, in Vietnam and otherwise."
The Night Porter,Drama,1974,"dirkbogarde ,charlotterampling ,gabrieleferzetti",lilianacavani,6.6,53.0,4.266305,False,en,"In this unsettling drama from Italian filmmaker Liliana Cavani, a concentration camp survivor discovers her former torturer and lover working as a porter at a hotel in postwar Vienna. When the couple attempt to re-create their sadomasochistic relationship, his former SS comrades begin to stalk them. Operatic and disturbing, The Night Porter deftly examines the lasting social and psychological effects of the Nazi regime."
Mephisto,Drama,1981,"klausmariabrandauer ,krystynajanda ,ildikóbánsági",istvánszabó,7.1,33.0,5.663598,False,de,"A German stage actor finds unexpected success and mixed blessings in the popularity of his performance in a Faustian play as the Nazis take power in pre-WWII Germany. As his associates and friends flee or are ground under by the Nazi terror, the popularity of his character supercedes his own existence until he finds that his best performance is keeping up appearances for his Nazi patrons."
Blue Velvet,"Crime ,Drama ,Mystery ,Thriller",1986,"isabellarossellini ,kylemaclachlan ,dennishopper",davidlynch,7.7,758.0,7.8822470000000004,False,en,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child."
The Journey of Natty Gann,Adventure,1985,"meredithsalenger ,johncusack ,raywise",jeremykagan,6.4,27.0,1.29288,False,en,"America is in the depths of the Great Depression. Families drift apart when faraway jobs beckon. In this masterful, atmospheric adventure, a courageous young girl (Meredith Salenger) confronts overwhelming odds when she embarks on a cross-country search for her father. During her extraordinary odyssey, she forms a close bond with two diverse traveling companions: a magnificent, protective wolf, and a hardened drifter (John Cusack). A brilliant, moving tapestry, woven of courage and perseverance."
The Jungle Book,"Family ,Animation ,Adventure",1967,"brucereitherman ,philharris ,sebastiancabot",wolfgangreitherman,7.1,1791.0,22.845448,False,en,"The boy Mowgli makes his way to the man-village with Bagheera, the wise panther. Along the way he meets jazzy King Louie, the hypnotic snake Kaa and the lovable, happy-go-lucky bear Baloo, who teaches Mowgli ""The Bare Necessities"" of life and the true meaning of friendship."
Kidnapped,"Action ,Adventure ,Drama ,Family",1960,"peterfinch ,jamesmacarthur ,bernardlee",robertstevenson,6.4,6.0,2.532177,False,en,"Kidnapped and cheated out of his inheritance, young David Balfour falls in with a Jacobite adventurer, Alan Breck Stewart. Falsely accused of murder, they must flee across the Highlands, evading the redcoats."
Lady and the Tramp,"Family ,Animation",1955,"peggylee ,barbaraluddy ,larryroberts",hamiltonluske,6.9,1241.0,12.994387,False,en,"Lady, a golden cocker spaniel, meets up with a mongrel dog who calls himself the Tramp. He is obviously from the wrong side of town, but happenings at Lady's home make her decide to travel with him for a while."
The Little Mermaid,"Animation ,Family",1989,"jodibenson ,christopherdanielbarnes ,jasonmarin",ronclements,7.2,1921.0,17.496832,False,en,This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him. Memorable songs and characters -- including the villainous sea witch Ursula.
The Mighty Ducks,"Comedy ,Family",1992,"emilioestevez ,jossackland ,lanesmith",stephenherek,6.4,203.0,6.113646,False,en,"After reckless young lawyer Gordon Bombay gets arrested for drunk driving, he must coach a kids hockey team for his community service. Gordon has experience on the ice, but isn't eager to return to hockey, a point hit home by his tense dealings with his own former coach, Jack Reilly. The reluctant Gordon eventually grows to appreciate his team, which includes promising young Charlie Conway, and leads them to take on Reilly's tough players."
The Muppet Christmas Carol,"Comedy ,Family ,Fantasy ,Drama",1992,"michaelcaine ,donausten ,meredithbraun",brianhenson,7.2,217.0,14.630571,False,en,"A retelling of the classic Dickens tale of Ebenezer Scrooge, miser extraordinaire. He is held accountable for his dastardly ways during night-time visitations by the Ghosts of Christmas Past, Present, and future."
Newsies,"Drama ,Music ,Family",1992,"christianbale ,billpullman ,ann-margret",kennyortega,6.2,66.0,4.0956019999999995,False,en,"A week in the life of the exploited, child newspaper sellers in turn-of-the-century New York. When their publisher, Joseph Pulitzer, tries to squeeze a little more profit out of their labours, they organize a strike, only to be confronted with the Pulitzer's hard-ball tactics."
One Hundred and One Dalmatians,"Adventure ,Animation ,Comedy ,Family",1961,"rodtaylor ,j.pato'malley ,bettylougerson",hamiltonluske,6.8,1643.0,15.727519000000001,False,en,"When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement."
One Magic Christmas,"Family ,Fantasy",1985,"marysteenburgen ,harrydeanstanton ,garybasaraba",phillipborsos,5.7,15.0,11.890036,False,en,"Ginny Grainger, a young mother, rediscovers the joy and beauty of Christmas, thanks to the unshakable faith of her six-year-old daughter Abbie and Gideon, Ginny's very own guardian angel."
Peter Pan,"Animation ,Music ,Family ,Adventure ,Fantasy",1953,"bobbydriscoll ,kathrynbeaumont ,hansconried",clydegeronimi,7.0,1380.0,16.861532999999998,False,en,"Leaving the safety of their nursery behind, Wendy, Michael and John follow Peter Pan to a magical world where childhood lasts forever. But while in Neverland, the kids must face Captain Hook and foil his attempts to get rid of Peter for good."
Popeye,"Action ,Adventure ,Comedy ,Family ,Music",1980,"robinwilliams ,shelleyduvall ,raywalston",robertaltman,5.3,157.0,9.126161999999999,False,en,"Popeye is a super-strong, spinach-scarfing sailor man who's searching for his father. During a storm that wrecks his ship, Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive. Before he can win her heart, he must first contend with Olive's fiancé, Bluto."
The Rescuers Down Under,"Adventure ,Animation ,Crime ,Family ,Fantasy",1990,"bobnewhart ,evagabor ,johncandy",hendelbutoy,6.6,303.0,1.562471,False,en,"A lawless poacher wants to capture a majestic and rare golden eagle, so he kidnaps the boy who knows where to find the bird. Not to worry -- the Rescue Aid Society's top agents, heroic mice Miss Bianca and Bernard, fly to Australia to save the day. Accompanying the fearless duo are bumbling albatross Wilbur and local field operative Jake the Kangaroo Rat."
The Rescuers,"Fantasy ,Family ,Animation ,Adventure",1977,"bobnewhart ,evagabor ,geraldinepage",johnlounsbery,6.7,609.0,11.32442,False,en,"What can two little mice possibly do to save an orphan girl who's fallen into evil hands? With a little cooperation and faith in oneself, anything is possible! As members of the mouse-run International Rescue Aid Society, Bernard and Miss Bianca respond to orphan Penny's call for help. The two mice search for clues with the help of an old cat named Rufus."
Return from Witch Mountain,"Adventure ,Fantasy ,Science Fiction ,Family",1978,"bettedavis ,christopherlee ,kimrichards",johnhough,5.6,38.0,3.936986,False,en,"In this sequal to ""Escape From Witch Mountain,"" Tia and Tony leave their safe refuge on witch mountain for a trip to Los Angeles. Tony is kidnapped by the evil Dr. Gannon and his spinster partner Letha and brainwashed into helping Gannon and Letha commit various crimes. It's up to Tia and a gang of truant kids to rescue Tony and prevent a major disaster."
The Return of Jafar,"Family ,Adventure ,Animation ,Romance",1994,"scottweinger ,lindalarkin ,jonathanfreeman",alanzaslove,5.7,447.0,12.099799,False,en,"The evil Jafar escapes from the magic lamp as an all-powerful genie, ready to plot his revenge against Aladdin. From battling elusive villains atop winged horses, to dodging flames inside an exploding lava pit, it's up to Aladdin - with Princess Jasmine and the outrageously funny Genie by his side - to save the kingdom once and for all."
Return to Oz,"Adventure ,Family ,Fantasy",1985,"fairuzabalk ,nicolwilliamson ,jeanmarsh",waltermurch,6.6,122.0,6.523262,False,en,"Dorothy, saved from a psychiatric experiment by a mysterious girl, finds herself back in the land of her dreams, and makes delightful new friends, and dangerous new enemies."
The Rocketeer,"Action ,Adventure ,Science Fiction ,Family",1991,"billycampbell ,jenniferconnelly ,alanarkin",joejohnston,6.3,265.0,10.536644,False,en,"Straight from the pages of a pulp comic from a past era, the Rocketeer recreates 1930s Hollywood, complete with gangsters, Nazi spies, and the growth of the Age of Aviation. Young pilot Cliff Secord stumbles on a top secret rocket-pack and with the help of his mechanic/mentor, Peevy, he attempts to save his girl and stop the Nazis as The Rocketeer."
The Shaggy D.A.,"Comedy ,Family",1976,"deanjones ,suzannepleshette ,timconway",robertstevenson,5.4,15.0,1.48253,False,en,"Wilby Daniels, a successful lawyer running for District Attorney, suddenly finds himself being transformed into an English sheepdog. Somehow he has to keep his change a secret and find just what is causing it, all the while eluding the local dog catcher."
Sleeping Beauty,"Fantasy ,Animation ,Romance ,Family",1959,"marycosta ,billshirley ,eleanoraudley",clydegeronimi,6.8,1332.0,14.276169,False,en,"A beautiful princess born in a faraway kingdom is destined by a terrible curse to prick her finger on the spindle of a spinning wheel and fall into a deep sleep that can only be awakened by true love's first kiss. Determined to protect her, her parents ask three fairies to raise her in hiding. But the evil Maleficent is just as determined to seal the princess's fate."
Something Wicked This Way Comes,"Fantasy ,Mystery ,Thriller",1983,"jasonrobards ,jonathanpryce ,dianeladd",jackclayton,6.6,38.0,3.9858190000000002,False,en,"In a small American town, a diabolical circus arrives, granting wishes for the townsfolk, but twisted as only the esteemed Mr. Dark can make them. Can two young boys overcome the worst the devil himself can deal out?"
Son of Flubber,"Comedy ,Family ,Romance",1963,"fredmacmurray ,keenanwynn ,paullynde",robertstevenson,6.7,16.0,2.545544,False,en,"Medfield's lovable but hopelessly absent-minded professor -- Ned Brainard (Fred MacMurray) -- bounces back in this classic Disney film with hilarious new mishaps when he experiments with the amazing by-products of his startling anti-gravity substance, ""flubber."" Windows shatter, football players fly, and thunderstorms materialize indoors as Professor Brainard fights to keep Medfield College from falling into the hands of ruthless land developer Alonzo Hawk (Keenan Wynn)."
Song of the South,"Family ,Music",1946,"ruthwarrick ,bobbydriscoll ,jamesbaskett",harvefoster,6.9,69.0,4.045635,False,en,Uncle Remus draws upon his tales of Brer Rabbit to help little Johnny deal with his confusion over his parents' separation as well as his new life on the plantation.
Splash,"Comedy ,Fantasy ,Romance",1984,"tomhanks ,darylhannah ,eugenelevy",ronhoward,6.1,328.0,8.441602,False,en,"A successful businessman falls in love with the girl of his dreams. There's one big complication though; he's fallen hook, line and sinker for a mermaid."
Squanto: A Warrior's Tale,"Drama ,Family",1994,"adambeach ,sheldonpeterswolfchild ,irenebedard",xavierkoller,6.1,7.0,1.9350060000000002,False,en,"Squanto is a high-born Indian warrior from a tribe on the Atlantic coast of North America which devotes its life to hunting and rivalry with a neighboring tribe. Everything changes forever after a ship arrives from England, prospecting the region's commercial potential for the rich Sir George, who uses all his wealth and influence only for ever greater profit. When it returns, several Indians find themselves captives on board, including Squanto. The arrogant Christians consider themselves utterly superior to the 'heathen savages' and treat them as brutally as they do beasts. Squanto fights a bear in a circus, not understanding how men can be so cruel to that creature either, and manages a spectacular escape, but where must he go? He finds shelter and help in a rural monastery, where it takes his protector some effort to prevent the others considering the unknown as diabolical. In time sir George's men come looking for him most brutally..."
Steamboat Willie,Animation,1928,waltdisney,waltdisney,7.4,76.0,3.394625,False,en,"Mickey Mouse, piloting a steamboat, delights his passenger, Minnie, by making musical instruments out of the menagerie on deck."
Tall Tale,Adventure,1995,"patrickswayze ,oliverplatt ,rogeraaronbrown",jeremiahs.chechik,6.6,15.0,1.283015,False,en,"A young boy draws on the inspiration of legendary western characters to find the strength to fight an evil land baron in the old west who wants to steal his family's farm and destroy their idyllic community. When Daniel Hackett sees his father Jonas gravely wounded by the villainous Stiles, his first urge is for his family to flee the danger, and give up their life on a farm which Daniel has come to despise anyway. Going alone to a lake to try to decide what to do, he falls asleep on a boat and wakes to find himself in the wild west, in the company of such ""tall tale"" legends as Pecos Bill, Paul Bunyan, John Henry and Calamity Jane. Together, they battle the same villains Daniel is facing in his ""real"" world, ending with a heroic confrontation in which the boy stands up to Stiles and his henchmen, and rallies his neighbors to fight back against land grabbers who want to destroy their town."
Tex,Drama,1982,"mattdillon ,jimmetzler ,megtilly",timhunter,5.9,9.0,5.5401169999999995,False,en,"Coming-of-age adventure about two teenage brothers and their struggles to grow up, on their own, after their mother dies and their father leaves them."
Tron,"Science Fiction ,Action ,Adventure",1982,"jeffbridges ,bruceboxleitner ,davidwarner",stevenlisberger,6.6,717.0,16.574021,False,en,"As Kevin Flynn searches for proof that he invented a hit video game, he is ""digitalized"" by a laser and finds himself inside The Grid, where programs suffer under the tyrannical rule of the Master Control Program. With the help of TRON, a security program, Flynn seeks to free The Grid from the MCP."
Swing Kids,"Music ,Drama",1993,"robertseanleonard ,christianbale ,frankwhaley",thomascarter,6.7,63.0,4.379054,False,en,"The story of a close-knit group of young kids in Nazi Germany who listen to banned swing music from the US. Soon dancing and fun leads to more difficult choices as the Nazi's begin tightening the grip on Germany. Each member of the group is forced to face some tough choices about right, wrong, and survival."
Halloween: H20,"Horror ,Thriller",1998,"jamieleecurtis ,joshhartnett ,adamarkin",steveminer,5.7,306.0,8.619067999999999,False,en,"Two decades after surviving a massacre on October 31, 1978, former baby sitter Laurie Strode finds herself hunted by persistent knife-wielder Michael Myers. Laurie now lives in Northern California under an assumed name, where she works as the headmistress of a private school. But it's not far enough to escape Myers, who soon discovers her whereabouts. As Halloween descends upon Laurie's peaceful community, a feeling of dread weighs upon her -- with good reason."
L.A. Story,"Comedy ,Drama ,Fantasy ,Romance",1991,"stevemartin ,sarahjessicaparker ,victoriatennant",mickjackson,6.4,88.0,7.775188000000001,False,en,"With the help of a talking freeway billboard, a ""wacky weatherman"" tries to win the heart of an English newspaper reporter, who is struggling to make sense of the strange world of early-90s Los Angeles."
The Jerk,Comedy,1979,"stevemartin ,bernadettepeters ,catlinadams",carlreiner,7.0,272.0,5.873021,False,en,"After discovering he's not really black like the rest of his family, likable dimwit Navin Johnson runs off on a hilarious misadventure in this comedy classic that takes him from rags to riches and back to rags again. The slaphappy jerk strikes it rich, but life in the fast lane isn't all it's cracked up to be and, in the end, all that really matters to Johnson is his true love."
Dead Men Don't Wear Plaid,"Comedy ,Mystery",1982,"stevemartin ,rachelward ,alanladd",carlreiner,6.5,104.0,5.515136,False,en,"Juliet Forrest is convinced that the reported death of her father in a mountain car crash was no accident. Her father was a prominent cheese scientist working on a secret recipe. To prove it was murder, she enlists the services of private eye Rigby Reardon. He finds a slip of paper containing a list of people who are ""The Friends and Enemies of Carlotta."""
The Man with Two Brains,"Comedy ,Romance ,Science Fiction",1983,"stevemartin ,kathleenturner ,davidwarner",carlreiner,6.2,131.0,12.157229,False,en,A story about a brain surgeon who tries to end his unhappy marriage to spend more time with a disembodied brain.
Grand Canyon,Drama,1991,"dannyglover ,kevinkline ,stevemartin",lawrencekasdan,6.8,51.0,4.422985,False,en,Grand Canyon revolved around six residents from different backgrounds whose lives intertwine in modern-day Los Angeles. At the center of the film is the unlikely friendship of two men from different races and classes brought together when one finds himself in jeopardy in the other's rough neighborhood.
Graveyard Shift,"Drama ,Horror",1990,"davidandrews ,kellywolf ,stephenmacht",ralphs.singleton,4.5,52.0,4.668541,False,en,"John Hall is a drifter who wanders into a small town in Maine. He needs a job and decides to seek employment at the community's top business: a large textile mill. He is hired to work the ""graveyard shift"" -- from around midnight to dawn -- and, along with a few others, he is charged with cleaning out the basement. This task strikes the workers as simple enough, but then, as they proceed deeper underground, they encounter an unspeakable monstrosity intent on devouring them all."
The Outsiders,"Crime ,Drama",1983,"mattdillon ,ralphmacchio ,c.thomashowell",francisfordcoppola,6.9,293.0,6.435926,False,en,"When two poor greasers, Johnny, and Ponyboy are assaulted by a vicious gang, the socs, and Johnny kills one of the attackers, tension begins to mount between the two rival gangs, setting off a turbulent chain of events."
Indiana Jones and the Temple of Doom,"Adventure ,Action",1984,"harrisonford ,katecapshaw ,jonathankequan",stevenspielberg,7.1,2841.0,15.802306,False,en,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace."
The Lord of the Rings,"Fantasy ,Drama ,Animation ,Adventure",1978,"christopherguard ,williamsquire ,michaelscholes",ralphbakshi,6.1,187.0,7.914795,False,en,The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.
Nineteen Eighty-Four,"Drama ,Romance ,Science Fiction",1984,"johnhurt ,richardburton ,suzannahamilton",michaelradford,6.8,311.0,11.513066,False,en,George Orwell's novel of a totalitarian future society in which a man whose daily work is rewriting history tries to rebel by falling in love.
The Dead Zone,"Horror ,Science Fiction ,Thriller",1983,"christopherwalken ,brookeadams ,tomskerritt",davidcronenberg,6.9,320.0,11.194448,False,en,"Johnny Smith is a schoolteacher with his whole life ahead of him but, after leaving his fiancee's home one night, is involved in a car crash which leaves him in a coma for 5 years. When he wakes, he discovers he has an ability to see into the past, present and future life of anyone with whom he comes into physical contact."
Maximum Overdrive,"Action ,Drama ,Horror ,Science Fiction",1986,"emilioestevez ,pathingle ,lauraharrington",stephenking,5.5,170.0,6.614078,False,en,"When a comet passes close to the earth, machines all over the world come alive and go on homicidal rampages. A group of people at a desolate truck stop are held hostage by a gang of homicidal 18-wheelers. The frightened people set out to defeat the killer machines ... or be killed by them."
Needful Things,"Drama ,Horror",1993,"maxvonsydow ,edharris ,bonniebedelia",fraserclarkeheston,5.9,136.0,10.560238,False,en,"The devil in disguise comes to a quiet, peaceful town and opens a store called Needful Things. The store has an item for everyone in town. All the devil asks for in return is a few dirty pranks. Little do they know, that they've sold their souls, and the pranks escalate to murder."
Cujo,"Horror ,Thriller",1983,"deewallace ,dannypintauro ,danielhughkelly",lewisteague,5.7,194.0,7.065625999999999,False,en,"A friendly St. Bernard named ""Cujo"" contracts rabies and conducts a reign of terror on a small American town."
Children of the Corn,"Drama ,Fantasy ,Horror ,Thriller",1984,"peterhorton ,lindahamilton ,r.g.armstrong",fritzkiersch,5.6,243.0,11.846960000000001,False,en,A boy preacher named Isaac goes to a town in Nebraska called Gatlin and gets all the children to murder every adult in town.
All Dogs Go to Heaven,"Drama ,Animation ,Family ,Comedy ,Fantasy",1989,"burtreynolds ,domdeluise ,judithbarsi",garygoldman,6.3,244.0,7.068389,False,en,"When a casino owning dog named Charlie is murdered by his rival Carface, he finds himself in Heaven basically by default since all dogs go to heaven. However, since he wants to get back at his killer, he cons his way back to the living with the warning that doing that damns him to Hell. Once back, he teams with his old partner, Itchy to prep his retaliation. He also stumbles on to an orphan girl who can talk to the animals, thus allowing him to get the inside info on the races to ensure his wins to finance his plans. However, all the while, he is still haunted by nightmares on what's waiting for him on the other side unless he can prove that he is worthy of Heaven again."
The Addams Family,"Horror ,Comedy ,Fantasy",1991,"raúljuliá ,anjelicahuston ,christopherlloyd",barrysonnenfeld,6.7,871.0,12.962525,False,en,"Uncle Fester has been missing for 25 years. An evil doctor finds out and introduces a fake Fester in an attempt to get the Adams Family's money. The youngest daughter has some doubts about the new uncle Fester, but the fake uncle adapts very well to the strange family. Can the doctor carry out her evil plans and take over the Adams Family's fortune?"
Ever After: A Cinderella Story,"Drama ,Romance ,Comedy",1998,"drewbarrymore ,dougrayscott ,anjelicahuston",andytennant,6.8,408.0,13.309701,False,en,"A unique 16th century woman, Danielle possesses a love of books, and can easily quote from Sir Thomas More’s Utopia. An intriguing mix of tomboyish athleticism and physical beauty, she has more than enough charm to capture the heart of a prince ... after beaning him with an apple."
